"","LSOA21CD","claimants_2022"
"328","E01000341",10.4166666666667
"329","E01000342",16.6666666666667
"330","E01000343",12.9166666666667
"331","E01000344",14.1666666666667
"332","E01000345",9.58333333333333
"333","E01000346",15.4166666666667
"334","E01000347",20
"335","E01000348",11.25
"336","E01000349",10.8333333333333
"337","E01000350",11.6666666666667
"338","E01000351",13.3333333333333
"339","E01000352",25
"340","E01000353",11.25
"341","E01000354",21.25
"342","E01000355",6.25
"343","E01000356",20
"344","E01000357",9.58333333333333
"345","E01000358",16.25
"346","E01000359",15.4166666666667
"347","E01000360",58.75
"348","E01000361",20.8333333333333
"349","E01000362",25
"350","E01000363",15.8333333333333
"351","E01000364",28.75
"352","E01000365",25
"353","E01000366",37.5
"354","E01000367",63.75
"355","E01000368",44.5833333333333
"356","E01000369",15.8333333333333
"357","E01000370",18.75
"358","E01000371",25.4166666666667
"359","E01000372",44.1666666666667
"360","E01000373",33.3333333333333
"361","E01000374",47.0833333333333
"362","E01000375",40
"363","E01000376",25
"364","E01000377",27.0833333333333
"365","E01000379",31.6666666666667
"366","E01000380",38.75
"367","E01000381",31.6666666666667
"368","E01000382",9.58333333333333
"369","E01000383",27.0833333333333
"370","E01000384",32.5
"371","E01000385",49.1666666666667
"372","E01000386",47.0833333333333
"373","E01000387",17.9166666666667
"374","E01000388",16.25
"375","E01000389",26.6666666666667
"376","E01000390",16.25
"377","E01000391",24.1666666666667
"378","E01000392",50
"379","E01000393",25
"380","E01000394",17.5
"381","E01000395",10.4166666666667
"382","E01000396",10.8333333333333
"383","E01000398",28.75
"384","E01000399",18.3333333333333
"385","E01000400",21.25
"386","E01000401",40.4166666666667
"387","E01000402",37.5
"388","E01000403",69.1666666666667
"389","E01000404",112.916666666667
"390","E01000405",57.9166666666667
"391","E01000406",82.0833333333333
"392","E01000407",19.5833333333333
"393","E01000408",75.8333333333333
"394","E01000409",12.5
"395","E01000410",17.5
"396","E01000411",17.0833333333333
"397","E01000412",27.5
"398","E01000413",18.3333333333333
"399","E01000414",49.1666666666667
"400","E01000415",8.75
"401","E01000416",54.1666666666667
"402","E01000417",36.6666666666667
"403","E01000418",49.1666666666667
"404","E01000419",13.3333333333333
"405","E01000420",22.0833333333333
"406","E01000421",10.4166666666667
"407","E01000422",48.75
"408","E01000423",8.33333333333333
"409","E01000424",13.75
"410","E01000425",7.91666666666667
"411","E01000426",28.75
"412","E01000427",27.5
"413","E01000428",43.75
"414","E01000429",76.25
"415","E01000430",43.75
"416","E01000431",60.4166666666667
"417","E01000433",71.6666666666667
"418","E01000434",51.6666666666667
"419","E01000435",42.9166666666667
"420","E01000436",20
"421","E01000437",24.5833333333333
"422","E01000438",29.5833333333333
"423","E01000439",45.4166666666667
"424","E01000440",10.4166666666667
"425","E01000441",71.25
"426","E01000442",22.0833333333333
"427","E01000443",17.9166666666667
"428","E01000444",8.33333333333333
"429","E01000445",11.6666666666667
"430","E01000446",12.5
"431","E01000447",31.6666666666667
"432","E01000448",6.66666666666667
"433","E01000449",9.58333333333333
"434","E01000450",34.1666666666667
"435","E01000451",22.5
"436","E01000452",10.8333333333333
"437","E01000453",18.75
"438","E01000454",26.25
"439","E01000455",25
"440","E01000456",13.3333333333333
"441","E01000457",37.9166666666667
"442","E01000458",9.16666666666667
"443","E01000459",34.1666666666667
"444","E01000460",5
"445","E01000461",7.08333333333333
"446","E01000462",34.5833333333333
"447","E01000463",11.6666666666667
"448","E01000464",48.75
"449","E01000465",68.75
"450","E01000466",74.5833333333333
"451","E01000467",68.3333333333333
"452","E01000468",112.083333333333
"453","E01000469",54.1666666666667
"454","E01000470",69.5833333333333
"455","E01000471",40
"456","E01000472",66.25
"457","E01000473",78.75
"458","E01000474",50.8333333333333
"459","E01000475",57.0833333333333
"460","E01000476",59.5833333333333
"461","E01000477",88.75
"462","E01000478",72.5
"463","E01000479",38.75
"464","E01000480",48.3333333333333
"465","E01000481",59.1666666666667
"466","E01000483",88.75
"467","E01000484",65.4166666666667
"468","E01000485",44.5833333333333
"469","E01000486",39.5833333333333
"470","E01000487",71.25
"471","E01000488",55.4166666666667
"472","E01000489",52.0833333333333
"473","E01000490",64.1666666666667
"474","E01000491",62.0833333333333
"475","E01000492",32.0833333333333
"476","E01000493",40.4166666666667
"477","E01000494",64.5833333333333
"478","E01000495",67.9166666666667
"479","E01000497",105
"480","E01000498",125
"481","E01000499",110
"482","E01000501",89.1666666666667
"483","E01000502",80
"484","E01000503",101.666666666667
"485","E01000504",68.3333333333333
"486","E01000505",61.6666666666667
"487","E01000506",115.833333333333
"488","E01000507",74.1666666666667
"489","E01000508",142.083333333333
"490","E01000509",112.083333333333
"491","E01000510",106.666666666667
"492","E01000511",95.4166666666667
"493","E01000512",56.6666666666667
"494","E01000513",52.9166666666667
"495","E01000514",50
"496","E01000515",79.5833333333333
"497","E01000516",82.5
"498","E01000517",34.5833333333333
"499","E01000518",61.25
"500","E01000519",70
"501","E01000520",59.5833333333333
"502","E01000521",195.416666666667
"503","E01000522",127.5
"504","E01000523",169.166666666667
"505","E01000524",239.166666666667
"506","E01000525",134.166666666667
"507","E01000526",157.083333333333
"508","E01000527",121.666666666667
"509","E01000528",117.916666666667
"510","E01000530",46.25
"511","E01000531",87.9166666666667
"512","E01000532",57.5
"513","E01000533",166.25
"514","E01000534",67.5
"515","E01000535",118.75
"516","E01000536",31.6666666666667
"517","E01000538",17.5
"518","E01000539",25
"519","E01000540",17.9166666666667
"520","E01000541",41.25
"521","E01000543",41.6666666666667
"522","E01000544",87.5
"523","E01000545",124.583333333333
"524","E01000546",99.5833333333333
"525","E01000547",61.6666666666667
"526","E01000548",115
"527","E01000549",61.6666666666667
"528","E01000550",103.75
"529","E01000551",165
"530","E01000552",56.25
"531","E01000553",142.083333333333
"532","E01000554",66.6666666666667
"533","E01000555",54.1666666666667
"534","E01000556",128.75
"535","E01000557",85.4166666666667
"536","E01000558",57.5
"537","E01000559",62.0833333333333
"538","E01000560",59.1666666666667
"539","E01000561",72.9166666666667
"540","E01000562",30.4166666666667
"541","E01000563",21.25
"542","E01000564",50.8333333333333
"543","E01000565",46.25
"544","E01000566",35.8333333333333
"545","E01000567",35.8333333333333
"546","E01000568",43.75
"547","E01000569",22.5
"548","E01000570",72.0833333333333
"549","E01000571",51.6666666666667
"550","E01000572",37.9166666666667
"551","E01000573",47.5
"552","E01000574",32.9166666666667
"553","E01000575",59.1666666666667
"554","E01000576",51.6666666666667
"555","E01000577",112.083333333333
"556","E01000578",78.75
"557","E01000579",52.5
"558","E01000580",58.3333333333333
"559","E01000581",47.5
