"","SOA_LABEL","SOA2001","X0.15yrs","X16.39yrs","X40.64yrs","X65.","Total","Working"
"715","Annalong_1","95VV01S1",326,502,549,262,1638,1050
"716","Annalong_2","95VV01S2",347,518,515,241,1621,1033
"717","Ballybot","95VV02W1",457,709,722,357,2246,1432
"718","Bessbrook","95VV03W1",652,901,808,420,2781,1709
"719","Binnian","95VV04W1",763,996,986,503,3248,1982
"720","Burren and Kilbroney_1","95VV05S1",494,644,697,256,2091,1341
"721","Burren and Kilbroney_2","95VV05S2",727,852,840,250,2669,1692
"722","Camlough","95VV06W1",982,1136,1115,403,3636,2251
"723","Clonallan_1","95VV07S1",399,662,642,316,2018,1303
"724","Clonallan_2","95VV07S2",529,741,861,340,2471,1602
"725","Creggan","95VV08W1",984,1044,987,442,3458,2032
"726","Crossmaglen","95VV09W1",730,908,889,353,2881,1798
"727","Daisy hill_1","95VV10S1",384,593,468,131,1576,1061
"728","Daisy hill_2","95VV10S2",422,629,512,211,1774,1141
"729","Derryleckagh_1","95VV11S1",496,643,697,281,2117,1340
"730","Derryleckagh_2","95VV11S2",646,817,811,260,2536,1630
"731","Derrymore_1","95VV12S1",434,561,475,212,1683,1037
"732","Derrymore_2","95VV12S2",409,532,459,231,1631,991
"733","Donaghmore_1","95VV13S1",617,645,719,230,2210,1363
"734","Donaghmore_2","95VV13S2",315,444,495,205,1460,940
"735","Drumalane_1","95VV14S1",497,730,618,198,2042,1347
"736","Drumalane_2","95VV14S2",269,457,488,272,1485,944
"737","Drumgullion_1","95VV15S1",300,515,413,182,1411,929
"738","Drumgullion_2","95VV15S2",359,664,597,177,1796,1260
"739","Fathom","95VV16W1",754,1076,1093,428,3350,2168
"740","Forkhill_1","95VV17S1",600,720,713,276,2309,1433
"741","Forkhill_2","95VV17S2",663,756,766,224,2409,1522
"742","Kilkeel Central_1","95VV18S1",425,615,565,304,1909,1180
"743","Kilkeel Central_2","95VV18S2",320,560,546,341,1767,1106
"744","Kilkeel South_1","95VV19S1",256,389,388,280,1312,776
"745","Kilkeel South_2","95VV19S2",440,546,461,202,1650,1008
"746","Lisnacree","95VV20W1",730,952,1024,460,3165,1975
"747","Mayobridge_1","95VV21S1",643,794,786,238,2462,1581
"748","Mayobridge_2","95VV21S2",513,628,579,207,1928,1208
"749","Newtownhamilton","95VV22W1",850,1062,889,364,3166,1952
"750","Rostrevor","95VV23W1",529,808,998,530,2865,1806
"751","Seaview_1","95VV24S1",284,434,563,335,1616,997
"752","Seaview_2","95VV24S2",305,483,488,300,1576,971
"753","Silver Bridge_1","95VV25S1",545,619,556,238,1958,1175
"754","Silver Bridge_2","95VV25S2",511,657,628,242,2039,1286
"755","Spelga","95VV26W1",990,1229,1105,426,3750,2334
"756","St Mary's","95VV27W1",430,821,690,433,2375,1512
"757","St Patrick's_1","95VV28S1",547,755,697,322,2321,1452
"758","St Patrick's_2","95VV28S2",222,419,415,230,1286,834
