"","overall_imd_score","Data_Zone"
"175",34.7880403621108,"S01006680"
"176",30.395026113489,"S01006681"
"177",31.705789682324,"S01006682"
"178",31.1801543995457,"S01006683"
"179",59.7797693284595,"S01006684"
"180",36.5311414829022,"S01006685"
"181",25.7622545328666,"S01006686"
"182",24.9298707787075,"S01006687"
"183",12.6169623797071,"S01006688"
"184",2.57265072651664,"S01006689"
"185",13.8773333875956,"S01006690"
"186",8.90328478185966,"S01006691"
"187",8.60124056205115,"S01006692"
"188",13.8128243508389,"S01006693"
"189",36.5630053232354,"S01006694"
"190",21.7771474002483,"S01006695"
"191",26.46553278154,"S01006696"
"192",26.3248265981886,"S01006697"
"193",39.9596450180292,"S01006698"
"194",9.92295200137196,"S01006699"
"195",21.9067589818083,"S01006700"
"196",34.9946831959363,"S01006701"
"197",16.0109383295553,"S01006702"
"198",28.0623365305072,"S01006703"
"199",45.0840097840494,"S01006704"
"200",27.2557244473358,"S01006705"
"201",23.006827629399,"S01006706"
"202",39.0184518105543,"S01006707"
"203",21.1214331173167,"S01006708"
"204",26.0566433001082,"S01006709"
"205",20.9805100629425,"S01006710"
"206",32.3009419504093,"S01006711"
"207",18.6122175105492,"S01006712"
"208",29.0676978712695,"S01006713"
"209",22.4741185466008,"S01006714"
"210",33.47250633191,"S01006715"
"211",29.709741303727,"S01006716"
"212",29.114848312149,"S01006717"
"213",27.7625643939891,"S01006718"
"214",28.4553510526133,"S01006719"
"215",27.349959190575,"S01006720"
"216",27.1191751873983,"S01006721"
"217",19.29125831214,"S01006722"
"218",25.5526186617011,"S01006723"
"219",47.8101435442487,"S01006724"
"220",31.5518024741726,"S01006725"
"221",38.3250973767746,"S01006726"
"222",45.1795587978215,"S01006727"
"223",21.5419132819128,"S01006728"
"224",37.7393949910651,"S01006729"
"225",21.7366945657971,"S01006730"
"226",35.4823225038193,"S01006731"
"227",11.884591520701,"S01006732"
"228",2.46001176981931,"S01006733"
"229",3.63702248510858,"S01006734"
"230",2.40478189601833,"S01006735"
"231",5.50902128923121,"S01006736"
"232",5.90781734790998,"S01006737"
"233",15.5660797696983,"S01006738"
"234",7.32369770145326,"S01006739"
"235",16.4042504200848,"S01006740"
"236",20.222781634584,"S01006741"
"237",21.4041229364526,"S01006742"
"238",11.8753705446733,"S01006743"
"239",14.2938724095387,"S01006744"
"240",22.3997325729459,"S01006745"
"241",20.5887053276467,"S01006746"
"242",7.71661204493256,"S01006747"
"243",6.51909772975897,"S01006748"
"244",15.8358901922843,"S01006749"
"245",16.2882719047532,"S01006750"
"246",14.4749294089034,"S01006751"
"247",14.8091040132312,"S01006752"
"248",6.95488592068489,"S01006753"
"249",7.19666133604305,"S01006754"
"250",12.0974247276222,"S01006755"
"251",6.49474848365975,"S01006756"
"252",3.70497342751798,"S01006757"
"253",2.88504864402568,"S01006758"
"254",3.26731050862812,"S01006759"
"255",5.1053751567339,"S01006760"
"256",4.02830726036123,"S01006761"
"257",8.53841711896454,"S01006762"
"258",6.16040779597198,"S01006763"
"259",4.55597024969007,"S01006764"
"260",7.50059406363523,"S01006765"
"261",4.87417938715308,"S01006766"
"262",7.93299367518001,"S01006767"
"263",2.67663760390412,"S01006768"
"264",10.8813667604123,"S01006769"
"265",5.75948873697824,"S01006770"
"266",5.13429891430362,"S01006771"
"267",4.78969810494448,"S01006772"
"268",6.00528575335168,"S01006773"
"269",4.42262157491954,"S01006774"
"270",12.0945879850104,"S01006775"
"271",17.2316734879671,"S01006776"
"272",2.1443712242113,"S01006777"
"273",8.67508963951688,"S01006778"
"274",20.6301031887747,"S01006779"
"275",9.78548462959141,"S01006780"
"276",5.11902875819226,"S01006781"
"277",5.41299607171635,"S01006782"
"278",11.5466364060023,"S01006783"
"279",6.58423118457178,"S01006784"
"280",4.84943883096312,"S01006785"
"281",7.00337306608579,"S01006786"
"282",9.215709902671,"S01006787"
"283",10.839528523757,"S01006788"
"284",6.2291741703346,"S01006789"
"285",10.7745860033047,"S01006790"
"286",16.7411917972582,"S01006791"
"287",12.5771532982578,"S01006792"
"288",6.56116028706126,"S01006793"
"289",14.34506357869,"S01006794"
"290",7.47085181058145,"S01006795"
"291",7.66499008296917,"S01006796"
"292",8.45637895067783,"S01006797"
"293",11.780197066315,"S01006798"
"294",11.9560470773763,"S01006799"
"295",6.83221118972459,"S01006800"
"296",7.55605227159312,"S01006801"
"297",12.3763612623523,"S01006802"
"298",13.9900001419849,"S01006803"
"299",4.74600292892108,"S01006804"
"300",12.287015744749,"S01006805"
"301",12.2385035106066,"S01006806"
"302",16.2052201005706,"S01006807"
"303",8.65458358202523,"S01006808"
"304",17.405256939092,"S01006809"
"305",15.1907364138969,"S01006810"
"306",11.0437289520608,"S01006811"
"307",11.6888435759629,"S01006812"
"308",11.5342759102893,"S01006813"
"309",6.51865130914093,"S01006814"
"310",15.8090628903258,"S01006815"
"311",10.2111089667179,"S01006816"
"312",10.286378687686,"S01006817"
"313",8.46750579879476,"S01006818"
"314",9.14782124716403,"S01006819"
"315",7.180563666321,"S01006820"
"316",7.29951789002489,"S01006821"
"317",8.49820413728719,"S01006822"
"318",6.69767185260154,"S01006823"
"319",21.6209330878021,"S01006824"
"320",9.74142195135794,"S01006825"
"321",8.41377951929928,"S01006826"
"322",12.817119161763,"S01006827"
"323",11.1282977868614,"S01006828"
"324",3.5952446339798,"S01006829"
"325",13.8333082726671,"S01006830"
"326",3.55453853719458,"S01006831"
"327",5.36140224012153,"S01006832"
"328",1.58319185805039,"S01006833"
"329",4.64586634309657,"S01006834"
"330",15.0659206144227,"S01006835"
"331",7.404555544309,"S01006836"
"332",6.74130559211664,"S01006837"
"333",5.00568053705426,"S01006838"
"334",9.93685807378073,"S01006839"
"335",5.57697873145345,"S01006840"
"336",8.26408430979643,"S01006841"
"337",4.05100104615371,"S01006842"
"338",2.66682000488436,"S01006843"
"339",4.80026624335216,"S01006844"
"340",3.89628962466263,"S01006845"
"341",8.34421972436551,"S01006846"
"342",6.53770873409678,"S01006847"
"343",8.2487696483073,"S01006848"
"344",5.91478554699811,"S01006849"
"345",14.5443639557794,"S01006850"
"346",13.1100815697244,"S01006851"
"347",7.05438597654507,"S01006852"
"348",9.92486550618077,"S01006853"
"349",10.983839380392,"S01006854"
"350",9.1878649891837,"S01006855"
"351",6.81173679870719,"S01006856"
"352",8.63206757929575,"S01006857"
"353",8.86306101890793,"S01006858"
"354",4.74374049971422,"S01006859"
"355",12.9878997464046,"S01006860"
"356",5.17235318128348,"S01006861"
"357",6.58991906119806,"S01006862"
"358",9.13620958876543,"S01006863"
"359",9.8780190556479,"S01006864"
"360",4.62836036184315,"S01006865"
"361",2.58144742499622,"S01006866"
"362",2.46839710027685,"S01006867"
"363",11.8014606460872,"S01006868"
"364",9.48535471646643,"S01006869"
"365",3.79137001465646,"S01006870"
"366",4.70139934582957,"S01006871"
"367",6.92075533520422,"S01006872"
"368",7.68717849543297,"S01006873"
"369",10.0947683745509,"S01006874"
"370",10.2710542680379,"S01006875"
"371",8.92538078407937,"S01006876"
"372",10.6778045788656,"S01006877"
"373",16.3132285751224,"S01006878"
"374",10.3175340129934,"S01006879"
"375",6.39254499496362,"S01006880"
"376",7.38378624962887,"S01006881"
"377",10.7087959164825,"S01006882"
"378",6.31274279417564,"S01006883"
"379",7.59284853640411,"S01006884"
"380",9.68023305044693,"S01006885"
"381",11.5630935928625,"S01006886"
"382",6.93206266897074,"S01006887"
"383",8.1092931485272,"S01006888"
"384",21.0007434840867,"S01006889"
"385",4.10089432408509,"S01006890"
"386",8.15625082929726,"S01006891"
"387",18.0794638984213,"S01006892"
"388",11.0792332966991,"S01006893"
"389",11.343949415411,"S01006894"
"390",21.0341271889621,"S01006895"
"391",12.8152577260392,"S01006896"
"392",8.3285654957906,"S01006897"
"393",10.9060933911552,"S01006898"
"394",3.26990032269357,"S01006899"
"395",5.24035521090615,"S01006900"
"396",16.0417120113227,"S01006901"
"397",21.4015896931663,"S01006902"
"398",24.1448957126373,"S01006903"
"399",12.5803785249112,"S01006904"
"400",10.3213829805725,"S01006905"
"401",24.7013399068544,"S01006906"
"402",14.3130598223683,"S01006907"
"403",12.3782447356362,"S01006908"
"404",5.82936653759838,"S01006909"
"405",5.78220330025891,"S01006910"
"406",4.61748189635268,"S01006911"
"407",8.65068491660945,"S01006912"
"408",7.92891111619887,"S01006913"
"409",7.12860774628163,"S01006914"
"410",10.0544505501383,"S01006915"
"411",9.89197416318706,"S01006916"
"412",3.97932900413178,"S01006917"
"413",7.29336126470578,"S01006918"
"414",6.53776636067983,"S01006919"
"415",10.943755323079,"S01006920"
"416",3.65337111520665,"S01006921"
"417",8.37200395238907,"S01006922"
"418",6.78755651749263,"S01006923"
"419",10.2638177263385,"S01006924"
"420",9.07211410187563,"S01006925"
"421",5.77403673604997,"S01006926"
"422",6.8003639105568,"S01006927"
"423",10.8827944254783,"S01006928"
"424",2.71662423711734,"S01006929"
"425",2.48476344449672,"S01006930"
"426",8.36867610726627,"S01006931"
"427",6.69468643643332,"S01006932"
"428",1.83413198890503,"S01006933"
"429",8.90401617189165,"S01006934"
"430",2.04343539822256,"S01006935"
"431",4.00169155859948,"S01006936"
"432",3.72135015017855,"S01006937"
"433",7.39868468393481,"S01006938"
"434",3.13866224548162,"S01006939"
"435",2.87571889270565,"S01006940"
"436",6.67059875061514,"S01006941"
"437",5.84669658496491,"S01006942"
"438",3.94017106698627,"S01006943"
"439",9.01995219747219,"S01006944"
"440",2.95140423426896,"S01006945"
"441",6.88966371840205,"S01006946"
"442",9.05046765629207,"S01006947"
"443",10.6955198906782,"S01006948"
"444",8.01378180210643,"S01006949"
"445",15.7339649211851,"S01006950"
"446",9.33541765144865,"S01006951"
"447",11.3609909867438,"S01006952"
"448",6.82935385390504,"S01006953"
"449",7.87024968023294,"S01006954"
"450",15.8062224835369,"S01006955"
"451",8.33951741167038,"S01006956"
"452",7.1641930233287,"S01006957"
"453",6.45824407601736,"S01006958"
"454",19.4411048534164,"S01006959"
"455",7.02488820337956,"S01006960"
"456",4.99061104333377,"S01006961"
"457",3.93399796715941,"S01006962"
"458",7.21690732519353,"S01006963"
"459",7.9552586711294,"S01006964"
"460",6.03548428598111,"S01006965"
"461",17.6616332518709,"S01006966"
"462",4.4503325730208,"S01006967"
"463",13.6389517795688,"S01006968"
"464",12.4687264066972,"S01006969"
"465",4.46682099271249,"S01006970"
"466",13.7118755001113,"S01006971"
"467",8.57685932443022,"S01006972"
"468",9.81203077587913,"S01006973"
"469",9.42292099556937,"S01006974"
"470",9.95310868485161,"S01006975"
"471",9.18323950369208,"S01006976"
"472",11.8240018721384,"S01006977"
"473",12.718478096828,"S01006978"
"474",10.8293230335035,"S01006979"
"475",9.13090682647215,"S01006980"
"476",11.069265447965,"S01006981"
"477",6.39940659462627,"S01006982"
"478",11.5323267828894,"S01006983"
"479",7.81536978236681,"S01006984"
"480",5.9642474353444,"S01006985"
"481",5.91335080621736,"S01006986"
"482",9.25076501501961,"S01006987"
"483",8.33936523547475,"S01006988"
"484",6.77979005649423,"S01006989"
"485",5.8723772104416,"S01006990"
"486",19.898018055698,"S01006991"
"487",11.9207708564881,"S01006992"
"488",16.5275313169151,"S01006993"
"489",16.650494143136,"S01006994"
"490",8.44434318981354,"S01006995"
"491",9.62216230448656,"S01006996"
"492",7.64085767487301,"S01006997"
"493",9.03011491196465,"S01006998"
"494",14.4172102793157,"S01006999"
"495",9.7925641935956,"S01007000"
"496",11.0402908757257,"S01007001"
"497",16.9571786617992,"S01007002"
"498",10.1448875220651,"S01007003"
"499",12.9306338360439,"S01007004"
"500",7.82852075592305,"S01007005"
"501",15.6754419471794,"S01007006"
"502",14.518462148332,"S01007007"
"503",16.614893783206,"S01007008"
"504",11.9794209716111,"S01007009"
"505",5.82204220599958,"S01007010"
"506",26.4235751341523,"S01007011"
"507",30.1792436438874,"S01007012"
"508",10.1582002711279,"S01007013"
"509",9.61504402881221,"S01007014"
"510",14.2001009058059,"S01007015"
"511",13.1119063690215,"S01007016"
"512",16.9601036146485,"S01007017"
"513",9.13278564307142,"S01007018"
"514",15.0006144566391,"S01007019"
"515",16.3187236807602,"S01007020"
"516",12.172818579922,"S01007021"
"517",11.818378834978,"S01007022"
"518",14.4834834598484,"S01007023"
"519",18.9859479605829,"S01007024"
"520",21.3734293976087,"S01007025"
"521",13.440828808013,"S01007026"
"522",15.6354284234511,"S01007027"
"523",13.909855404831,"S01007028"
"524",15.2078919879992,"S01007029"
"525",20.6534269193689,"S01007030"
"526",24.043516655162,"S01007031"
"527",25.5098988969318,"S01007032"
"528",18.3259449962086,"S01007033"
"529",15.3361232328862,"S01007034"
