"","geography_code","obs_value"
"321","E01000325",10.8333333333333
"322","E01000326",29.5833333333333
"323","E01000327",16.25
"324","E01000328",15.8333333333333
"325","E01000329",29.5833333333333
"326","E01000330",41.25
"327","E01000331",37.5
"328","E01000332",24.5833333333333
"329","E01000333",52.5
"330","E01000334",31.6666666666667
"331","E01000335",93.3333333333333
"332","E01000336",85.8333333333333
"333","E01000337",56.25
"334","E01000338",50
"335","E01000339",20.4166666666667
"336","E01000340",17.5
"337","E01000341",10.4166666666667
"338","E01000342",16.6666666666667
"339","E01000343",12.9166666666667
"340","E01000344",14.1666666666667
"341","E01000345",9.58333333333333
"342","E01000346",15.4166666666667
"343","E01000347",20
"344","E01000348",11.25
"345","E01000349",10.8333333333333
"346","E01000350",11.6666666666667
"347","E01000351",13.3333333333333
"348","E01000352",25
"349","E01000353",11.25
"350","E01000354",21.25
"351","E01000355",6.25
"352","E01000356",20
"353","E01000357",9.58333333333333
"354","E01000358",16.25
"355","E01000359",15.4166666666667
"356","E01000360",58.75
"357","E01000361",20.8333333333333
"358","E01000362",25
"359","E01000363",15.8333333333333
"360","E01000364",28.75
"361","E01000365",25
"362","E01000366",37.5
"363","E01000367",63.75
"364","E01000368",44.5833333333333
"365","E01000369",15.8333333333333
"366","E01000370",18.75
"367","E01000371",25.4166666666667
"368","E01000372",44.1666666666667
"369","E01000373",33.3333333333333
"370","E01000374",47.0833333333333
"371","E01000375",40
"372","E01000376",25
"373","E01000377",27.0833333333333
"374","E01000378",61.25
"375","E01000379",31.6666666666667
"376","E01000380",38.75
"377","E01000381",31.6666666666667
"378","E01000382",9.58333333333333
"379","E01000383",27.0833333333333
"380","E01000384",32.5
"381","E01000385",49.1666666666667
"382","E01000386",47.0833333333333
"383","E01000387",17.9166666666667
"384","E01000388",16.25
"385","E01000389",26.6666666666667
"386","E01000390",16.25
"387","E01000391",24.1666666666667
"388","E01000392",50
"389","E01000393",25
"390","E01000394",17.5
"391","E01000395",10.4166666666667
"392","E01000396",10.8333333333333
"393","E01000398",28.75
"394","E01000399",18.3333333333333
"395","E01000400",21.25
"396","E01000401",40.4166666666667
"397","E01000402",37.5
"398","E01000403",69.1666666666667
"399","E01000404",112.916666666667
"400","E01000405",57.9166666666667
"401","E01000406",82.0833333333333
"402","E01000407",19.5833333333333
"403","E01000408",75.8333333333333
"404","E01000409",12.5
"405","E01000410",17.5
"406","E01000411",17.0833333333333
"407","E01000412",27.5
"408","E01000413",18.3333333333333
"409","E01000414",49.1666666666667
"410","E01000415",8.75
"411","E01000416",54.1666666666667
"412","E01000417",36.6666666666667
"413","E01000418",49.1666666666667
"414","E01000419",13.3333333333333
"415","E01000420",22.0833333333333
"416","E01000421",10.4166666666667
"417","E01000422",48.75
"418","E01000423",8.33333333333333
"419","E01000424",13.75
"420","E01000425",7.91666666666667
"421","E01000426",28.75
"422","E01000427",27.5
"423","E01000428",43.75
"424","E01000429",76.25
"425","E01000430",43.75
"426","E01000431",60.4166666666667
"427","E01000432",63.75
"428","E01000433",71.6666666666667
"429","E01000434",51.6666666666667
"430","E01000435",42.9166666666667
"431","E01000436",20
"432","E01000437",24.5833333333333
"433","E01000438",29.5833333333333
"434","E01000439",45.4166666666667
"435","E01000440",10.4166666666667
"436","E01000441",71.25
"437","E01000442",22.0833333333333
"438","E01000443",17.9166666666667
"439","E01000444",8.33333333333333
"440","E01000445",11.6666666666667
"441","E01000446",12.5
"442","E01000447",31.6666666666667
"443","E01000448",6.66666666666667
"444","E01000449",9.58333333333333
"445","E01000450",34.1666666666667
"446","E01000451",22.5
"447","E01000452",10.8333333333333
"448","E01000453",18.75
"449","E01000454",26.25
"450","E01000455",25
"451","E01000456",13.3333333333333
"452","E01000457",37.9166666666667
"453","E01000458",9.16666666666667
"454","E01000459",34.1666666666667
"455","E01000460",5
"456","E01000461",7.08333333333333
"457","E01000462",34.5833333333333
"458","E01000463",11.6666666666667
"459","E01000464",48.75
"460","E01000465",68.75
"461","E01000466",74.5833333333333
"462","E01000467",68.3333333333333
"463","E01000468",112.083333333333
"464","E01000469",54.1666666666667
"465","E01000470",69.5833333333333
"466","E01000471",40
"467","E01000472",66.25
"468","E01000473",78.75
"469","E01000474",50.8333333333333
"470","E01000475",57.0833333333333
"471","E01000476",59.5833333333333
"472","E01000477",88.75
"473","E01000478",72.5
"474","E01000479",38.75
"475","E01000480",48.3333333333333
"476","E01000481",59.1666666666667
"477","E01000482",161.666666666667
"478","E01000483",88.75
"479","E01000484",65.4166666666667
"480","E01000485",44.5833333333333
"481","E01000486",39.5833333333333
"482","E01000487",71.25
"483","E01000488",55.4166666666667
"484","E01000489",52.0833333333333
"485","E01000490",64.1666666666667
"486","E01000491",62.0833333333333
"487","E01000492",32.0833333333333
"488","E01000493",40.4166666666667
"489","E01000494",64.5833333333333
"490","E01000495",67.9166666666667
"491","E01000497",105
"492","E01000498",125
"493","E01000499",110
"494","E01000501",89.1666666666667
